date,sales
2021-01-01,207.45
2021-01-02,214.94
2021-01-03,231.96
2021-01-04,235.65
2021-01-05,193.31
2021-01-06,183.86
2021-01-07,216.29
2021-01-08,221.12
2021-01-09,219.57
2021-01-10,239.98
2021-01-11,215.43
2021-01-12,199.39
2021-01-13,200.54
2021-01-14,173.43
2021-01-15,193.24
2021-01-16,227.66
2021-01-17,226.1
2021-01-18,236.52
2021-01-19,202.16
2021-01-20,185.1
2021-01-21,233.44
2021-01-22,225.02
2021-01-23,246.36
2021-01-24,229.14
2021-01-25,232.82
2021-01-26,226.58
2021-01-27,198.1
2021-01-28,226.13
2021-01-29,228.39
2021-01-30,249.91
2021-01-31,250.37
2021-02-01,277.59
2021-02-02,233.48
2021-02-03,208.21
2021-02-04,241.49
2021-02-05,227.67
2021-02-06,265.94
2021-02-07,238.45
2021-02-08,238.27
2021-02-09,244.95
2021-02-10,243.4
2021-02-11,239.89
2021-02-12,252.34
2021-02-13,266.31
2021-02-14,253.61
2021-02-15,255.26
2021-02-16,242.86
2021-02-17,255.87
2021-02-18,250.08
2021-02-19,235.15
2021-02-20,283.12
2021-02-21,277.35
2021-02-22,263.15
2021-02-23,266.11
2021-02-24,262.54
2021-02-25,265.86
2021-02-26,255.88
2021-02-27,280.39
2021-02-28,294.77
2021-03-01,294.51
2021-03-02,256.21
2021-03-03,250.66
2021-03-04,241.56
2021-03-05,256.69
2021-03-06,303.27
2021-03-07,316.09
2021-03-08,284.63
2021-03-09,284.18
2021-03-10,264.49
2021-03-11,253.98
2021-03-12,285.44
2021-03-13,319.43
2021-03-14,300.37
2021-03-15,314.23
2021-03-16,234.76
2021-03-17,276.2
2021-03-18,269.66
2021-03-19,280.11
2021-03-20,302.2
2021-03-21,275.44
2021-03-22,291.68
2021-03-23,283.52
2021-03-24,290.02
2021-03-25,264.44
2021-03-26,276.21
2021-03-27,296.91
2021-03-28,322.47
2021-03-29,303.28
2021-03-30,273.46
2021-03-31,278.67
2021-04-01,276.67
2021-04-02,305.74
2021-04-03,296.65
2021-04-04,306.45
2021-04-05,294.97
2021-04-06,261.83
2021-04-07,277.67
2021-04-08,281.26
2021-04-09,293.29
2021-04-10,305.54
2021-04-11,291.89
2021-04-12,296.17
2021-04-13,280.15
2021-04-14,262.58
2021-04-15,276.19
2021-04-16,300.41
2021-04-17,338.38
2021-04-18,316.64
2021-04-19,307.12
2021-04-20,284.83
2021-04-21,246.37
2021-04-22,278.62
2021-04-23,295.55
2021-04-24,347.21
2021-04-25,311.2
2021-04-26,307.73
2021-04-27,285.25
2021-04-28,257.33
2021-04-29,295.76
2021-04-30,305.41
2021-05-01,321.5
2021-05-02,299.7
2021-05-03,323.39
2021-05-04,263.78
2021-05-05,282.59
2021-05-06,310.29
2021-05-07,277.98
2021-05-08,299.74
2021-05-09,313.33
2021-05-10,293.19
2021-05-11,259.84
2021-05-12,273.01
2021-05-13,259.59
2021-05-14,297.94
2021-05-15,292.34
2021-05-16,332.88
2021-05-17,286.7
2021-05-18,275.88
2021-05-19,281.7
2021-05-20,254.49
2021-05-21,291.58
2021-05-22,322.98
2021-05-23,282.68
2021-05-24,298.29
2021-05-25,281.6
2021-05-26,278.13
2021-05-27,251.23
2021-05-28,265.12
2021-05-29,307.88
2021-05-30,307.85
2021-05-31,295.81
2021-06-01,279.36
2021-06-02,252.59
2021-06-03,269.59
2021-06-04,285.57
2021-06-05,285.53
2021-06-06,327.51
2021-06-07,295.23
2021-06-08,252.3
2021-06-09,268.6
2021-06-10,247.38
2021-06-11,288.83
2021-06-12,309.42
2021-06-13,282.96
2021-06-14,298.27
2021-06-15,272.01
2021-06-16,266.69
2021-06-17,286.02
2021-06-18,268.87
2021-06-19,276.22
2021-06-20,277.38
2021-06-21,267.0
